0,6,3,0,7,0,0,0,0,14,0,0,0,0,15,0
0,0,14,0,0,0,0,12,2,0,0,0,0,1,0,3
16,0,0,5,0,0,0,0,0,0,0,4,0,8,10,0
13,0,0,0,6,2,0,0,0,0,11,0,0,9,0,0
0,0,0,12,0,5,0,15,0,0,0,0,0,0,3,14
0,0,0,11,0,0,16,0,1,6,0,0,0,0,0,5
4,10,13,0,0,0,0,0,0,0,9,0,6,0,0,0
0,15,0,0,0,1,8,14,11,0,0,7,0,0,0,2
6,5,0,0,3,0,4,0,0,16,0,0,0,0,0,0
0,14,0,10,0,0,0,1,0,0,7,0,12,15,11,0
0,4,2,0,0,13,0,0,0,0,0,10,0,0,0,0
7,0,0,0,0,0,0,0,0,0,13,14,8,0,0,16
0,0,0,0,0,0,11,0,6,0,8,0,13,12,0,0
0,0,0,1,13,0,0,10,0,0,15,0,0,0,7,0
9,0,0,3,0,0,0,0,12,0,0,0,16,0,4,11
0,2,8,0,0,15,9,0,5,3,0,0,0,0,0,0
