0,1,0,3,12,0,9,0,5,0,0,8,11,0,17,0,24,22,0,0,0,0,0,18,0
4,0,17,0,0,14,0,0,25,0,0,10,16,0,0,0,0,3,6,0,15,0,0,13,0
0,25,0,6,11,0,7,16,8,0,14,0,0,0,0,4,0,0,0,0,2,10,0,0,20
15,7,23,0,0,0,0,0,19,0,0,0,3,22,0,12,1,0,0,0,0,0,5,0,4
0,0,24,0,0,13,10,0,0,2,19,0,0,20,18,0,0,23,0,0,0,0,9,7,21
18,0,7,4,2,0,0,8,0,14,0,0,0,3,0,0,0,0,23,0,0,0,0,20,0
0,13,15,0,0,20,0,17,0,0,0,5,1,18,0,0,0,0,0,0,0,0,25,0,24
0,23,10,0,0,21,16,19,9,0,22,0,25,0,0,0,6,0,0,0,0,14,0,17,0
0,8,0,0,0,0,0,0,0,22,6,12,0,0,0,13,4,10,21,2,0,19,0,0,0
11,0,0,0,16,0,0,0,3,12,15,0,0,0,24,22,5,9,0,0,1,0,0,0,8
0,17,0,8,0,0,0,0,0,1,0,0,0,0,21,16,0,20,7,0,0,0,0,25,0
3,0,0,0,0,0,2,22,0,23,0,24,5,0,20,0,19,0,13,9,8,0,0,0,15
19,11,0,0,0,0,0,4,0,21,0,0,2,0,7,0,0,25,1,14,0,22,17,23,3
5,0,14,21,0,24,6,0,0,0,16,15,0,17,0,0,18,0,0,0,0,0,12,0,0
0,0,18,10,0,0,12,0,0,20,0,0,0,13,9,0,0,0,0,3,11,2,6,4,0
0,0,4,5,20,17,0,15,7,0,0,0,13,12,0,10,0,0,0,0,16,0,0,0,1
9,15,0,0,0,0,24,12,0,0,25,6,0,0,11,0,8,0,14,22,18,21,0,0,0
0,0,0,13,0,16,19,0,0,0,9,0,23,2,0,11,0,18,0,21,0,0,7,0,0
14,22,19,17,25,1,0,0,10,0,0,0,0,0,0,0,0,0,15,5,0,6,11,0,0
0,6,0,0,0,23,3,0,0,0,0,0,17,4,0,7,0,2,0,0,12,0,24,10,0
0,0,0,0,6,10,0,24,15,0,0,1,0,0,5,8,7,0,0,25,0,0,0,0,0
20,0,0,0,1,18,13,0,0,0,21,0,0,0,8,6,0,0,0,19,5,16,0,0,0
16,0,0,0,14,0,0,25,6,4,11,0,0,0,0,15,0,0,0,0,0,0,21,0,22
0,0,12,2,24,5,0,0,0,0,0,23,0,0,10,0,0,0,20,11,0,9,0,14,0
0,0,0,0,9,0,0,0,11,3,0,14,4,7,0,0,12,0,17,0,23,0,19,2,13
